action_id,action_group_id,symbol,action_type,distribution_period,announcement_date,record_date,ex_date,pay_date,cash_dividend_per_share,currency,ex_reference_dividend_per_share,share_transfer_per_share,distribution_is_differential,eligible_share_class,entitlement_rule,tax_rule_version,tax_assumption,source,secondary_source,version,record_status,notes,announcement_time,source_document,retrieved_at,raw_record_id
600900-CASH-DIV-FY2012-20130701,600900-CASH-DIV-FY2012-20130701,600900.SH,CASH_DIVIDEND,2012财年,2013-06-25,2013-06-28,2013-07-01,2013-07-04,0.331570,CNY,,,false,A股登记日持有人,每股派0.33157元,PRC_LISTED_DIVIDEND_PIT_2012_85,个人及基金派发时先按5%代扣；按持有期最终20%/10%/5%,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2012-20130701
600900-CASH-DIV-FY2013-20140711,600900-CASH-DIV-FY2013-20140711,600900.SH,CASH_DIVIDEND,2013财年,2014-07-04,2014-07-10,2014-07-11,2014-07-14,0.280420,CNY,,,false,A股登记日持有人,每股派0.28042元,PRC_LISTED_DIVIDEND_PIT_2012_85,个人及基金派发时先按5%代扣；按持有期最终20%/10%/5%,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2013-20140711
600900-CASH-DIV-FY2014-20150630,600900-CASH-DIV-FY2014-20150630,600900.SH,CASH_DIVIDEND,2014财年,2015-06-20,2015-06-29,2015-06-30,2015-07-03,0.379100,CNY,,,false,A股登记日持有人,每股派0.37910元,PRC_LISTED_DIVIDEND_PIT_2012_85,个人及基金派发时先按5%代扣；按持有期最终20%/10%/5%,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2014-20150630
600900-CASH-DIV-FY2015-20160719-ORDINARY,600900-CASH-DIV-FY2015-20160719,600900.SH,CASH_DIVIDEND,2015财年,2016-07-13,2016-07-18,2016-07-19,2016-07-19,0.400000,CNY,0.356960,,true,普通及战略投资者持股,每股派0.4元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,个人及基金派发时按税前额入账；卖出时按持有期最终20%/10%/0%,巨潮资讯2016-037实施公告,新浪财经分红表,v1,VALID,普通交易股份实际现金权益,,https://static.cninfo.com.cn/finalpage/2016-07-13/1202468389.PDF,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2015-20160719
600900-CASH-DIV-FY2015-20160719-ASSET,600900-CASH-DIV-FY2015-20160719,600900.SH,CASH_DIVIDEND,2015财年,2016-07-13,2016-07-18,2016-07-19,2016-07-19,0.129460,CNY,0.356960,,true,三家资产认购股东,每股派0.12946元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,资产认购股东自行缴纳,巨潮资讯2016-037实施公告,新浪财经分红表,v1,VALID,非普通交易股份实际现金权益,,https://static.cninfo.com.cn/finalpage/2016-07-13/1202468389.PDF,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2015-20160719
600900-CASH-DIV-FY2016-20170714-ORDINARY,600900-CASH-DIV-FY2016-20170714,600900.SH,CASH_DIVIDEND,2016财年,2017-07-10,2017-07-13,2017-07-14,2017-07-14,0.725000,CNY,0.713070,,true,其他股份,每股派0.725元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,个人及基金派发时按税前额入账；卖出时按持有期最终20%/10%/0%,新浪财经实施公告,中国证券报转载,v1,VALID,普通交易股份实际现金权益,,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=3548985&stockid=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2016-20170714
600900-CASH-DIV-FY2016-20170714-ASSET,600900-CASH-DIV-FY2016-20170714,600900.SH,CASH_DIVIDEND,2016财年,2017-07-10,2017-07-13,2017-07-14,2017-07-14,0.650000,CNY,0.713070,,true,三家资产认购股东,每股派0.65元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,资产认购股东自行缴纳,新浪财经实施公告,中国证券报转载,v1,VALID,非普通交易股份实际现金权益,,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=3548985&stockid=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2016-20170714
600900-CASH-DIV-FY2017-20180622,600900-CASH-DIV-FY2017-20180622,600900.SH,CASH_DIVIDEND,2017财年,2018-06-15,2018-06-21,2018-06-22,2018-06-22,0.680000,CNY,,,false,A股登记日持有人,每股派0.68元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,个人及基金派发时按税前额入账；卖出时按持有期最终20%/10%/0%,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2017-20180622
600900-CASH-DIV-FY2018-20190718,600900-CASH-DIV-FY2018-20190718,600900.SH,CASH_DIVIDEND,2018财年,2019-07-11,2019-07-17,2019-07-18,2019-07-18,0.680000,CNY,,,false,A股登记日持有人,每股派0.68元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,个人及基金派发时按税前额入账；卖出时按持有期最终20%/10%/0%,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2018-20190718
600900-CASH-DIV-FY2019-20200717,600900-CASH-DIV-FY2019-20200717,600900.SH,CASH_DIVIDEND,2019财年,2020-07-13,2020-07-16,2020-07-17,2020-07-17,0.680000,CNY,,,false,A股登记日持有人,每股派0.68元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,个人及基金派发时按税前额入账；卖出时按持有期最终20%/10%/0%,巨潮资讯公开分红接口（2026-09-09读取）,新浪财经分红表,v1,VALID,,,https://webapi.cninfo.com.cn/api/sysapi/p_sysapi1139?scode=600900,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2019-20200717
600900-CASH-DIV-FY2020-20210716,600900-CASH-DIV-FY2020-20210716,600900.SH,CASH_DIVIDEND,2020财年,2021-07-09,2021-07-15,2021-07-16,2021-07-16,0.700000,CNY,,,false,A股登记日持有人,每股派0.7元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,个人及基金派发时按税前额入账；卖出时按持有期最终20%/10%/0%,公司2021-033实施公告,中国证券报转载,v1,VALID,,,https://www.cypc.com.cn/eportal/fileDir/cypcweb/cypc/accessory/20210709145608.pdf,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2020-20210716
600900-CASH-DIV-FY2021-20220721,600900-CASH-DIV-FY2021-20220721,600900.SH,CASH_DIVIDEND,2021财年,2022-07-13,2022-07-20,2022-07-21,2022-07-21,0.815300,CNY,,,false,A股登记日持有人,每股派0.8153元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,个人及基金派发时按税前额入账；卖出时按持有期最终20%/10%/0%,上交所2022年实施公告,新浪财经分红表,v1,VALID,,,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-07-13/600900_20220713_1_zI17tKH7.pdf,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2021-20220721
600900-CASH-DIV-FY2022-20230721-PARTICIPATING,600900-CASH-DIV-FY2022-20230721,600900.SH,CASH_DIVIDEND,2022财年,2023-07-17,2023-07-20,2023-07-21,2023-07-21,0.853300,CNY,0.821100,,true,参与分配股份,参与分配的23546295291股每股派0.8533元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,个人及基金派发时按税前额入账；卖出时按持有期最终20%/10%/0%,巨潮资讯2023-036实施公告,上交所可交债调整公告,v1,VALID,普通交易股份实际现金权益,,https://static.cninfo.com.cn/finalpage/2023-07-17/1217309077.PDF,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2022-20230721
600900-CASH-DIV-FY2022-20230721-EXCLUDED,600900-CASH-DIV-FY2022-20230721,600900.SH,CASH_DIVIDEND,2022财年,2023-07-17,2023-07-20,2023-07-21,2023-07-21,0.000000,CNY,0.821100,,true,重大资产重组新增股份,921922425股不参与本次分配,NOT_APPLICABLE_NOT_ENTITLED,不派现金且不涉税,巨潮资讯2023-036实施公告,上交所可交债调整公告,v1,VALID,本次分配排除股份,,https://static.cninfo.com.cn/finalpage/2023-07-17/1217309077.PDF,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2022-20230721
600900-CASH-DIV-FY2023-20240719,600900-CASH-DIV-FY2023-20240719,600900.SH,CASH_DIVIDEND,2023财年,2024-07-11,2024-07-18,2024-07-19,2024-07-19,0.820000,CNY,,,false,A股登记日持有人,每股派0.82元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,个人及基金派发时按税前额入账；卖出时按持有期最终20%/10%/0%,巨潮资讯2024-030实施公告,新浪财经分红表,v1,VALID,,,https://static.cninfo.com.cn/finalpage/2024-07-11/1220602045.PDF,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2023-20240719
600900-CASH-DIV-FY2024-H1-20250124,600900-CASH-DIV-FY2024-H1-20250124,600900.SH,CASH_DIVIDEND,2024财年中期,2025-01-16,2025-01-23,2025-01-24,2025-01-24,0.210000,CNY,,,false,A股登记日持有人,每股派0.21元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,个人及基金派发时按税前额入账；卖出时按持有期最终20%/10%/0%,公司2025年中期实施公告,中国证券报转载,v1,VALID,构成2024财年每股0.943元总额,,https://stockn.xueqiu.com/SH600900/20250115986743.pdf,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2024-H1-20250124
600900-CASH-DIV-FY2024-20250718,600900-CASH-DIV-FY2024-20250718,600900.SH,CASH_DIVIDEND,2024财年,2025-07-11,2025-07-17,2025-07-18,2025-07-18,0.733000,CNY,,,false,A股登记日持有人,每股派0.733元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,个人及基金派发时按税前额入账；卖出时按持有期最终20%/10%/0%,巨潮资讯2025-032实施公告,新浪财经分红表,v1,VALID,构成2024财年每股0.943元总额,,https://static.cninfo.com.cn/finalpage/2025-07-11/1224131238.PDF,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2024-20250718
600900-CASH-DIV-FY2025-Q3-20260212,600900-CASH-DIV-FY2025-Q3-20260212,600900.SH,CASH_DIVIDEND,2025财年三季报,2026-02-05,2026-02-11,2026-02-12,2026-02-12,0.210000,CNY,,,false,A股登记日持有人,每股派0.21元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,个人及基金派发时按税前额入账；卖出时按持有期最终20%/10%/0%,公司2026-005中期实施公告,中国证券报转载,v1,VALID,构成2025财年每股1元总额,,https://epaper.cs.com.cn/zgzqb/images/2026-02/05/B025/zqB02505.pdf,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2025-Q3-20260212
600900-CASH-DIV-FY2025-20260717,600900-CASH-DIV-FY2025-20260717,600900.SH,CASH_DIVIDEND,2025财年,2026-07-10,2026-07-16,2026-07-17,2026-07-17,0.790000,CNY,,,false,A股登记日持有人,每股派0.79元,PRC_LISTED_DIVIDEND_PIT_2015_101_PLUS_2012_85,个人及基金派发时按税前额入账；卖出时按持有期最终20%/10%/0%,上交所2026-027实施公告,新浪财经分红表,v1,VALID,构成2025财年每股1元总额,,https://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-07-10/600900_20260710_T5C7.pdf,2026-09-09T21:56:00+08:00,600900-CASH-DIV-FY2025-20260717
