profile_id,account_id,start_date,end_date,session_rows,initial_nav_cny,final_nav_cny,nav_gain_cny,price_pnl_cny,execution_price_pnl_cny,gross_dividend_entitlement_cny,tax_effect_cny,fee_effect_cny,cash_yield_cny,attributed_nav_gain_cny,period_identity_difference_cny,sum_actual_nav_change_cny,maximum_absolute_daily_reconciliation_cny,gross_dividend_paid_transfer_cny,terminal_dividend_receivable_cny,terminal_tax_liability_cny,terminal_cash_cny,terminal_shares,average_cash_ratio,average_equity_weight
P00,HD-ANCHOR-001,2022-03-10,2025-09-09,852,60000.0,70119.18,10119.18,6403.0,0.0,3769.12,0.0,-52.94,0.0,10119.18,0.0,10119.18,0.0,3769.12,0.0,0.0,39308.18,1100,0.5621107967430578,0.4379740738197646
P00,HD-BASE-000,2022-03-10,2025-09-09,852,60000.0,68731.6,8731.6,5300.0,0.0,3431.6,0.0,0.0,0.0,8731.6,0.0,8731.6,0.0,3431.6,0.0,0.0,40721.6,1000,0.6100463465827202,0.3899536534172799
P00,HD-BASE-001,2022-03-10,2025-09-09,852,60000.0,73097.4,13097.4,7950.0,0.0,5147.4,0.0,0.0,0.0,13097.4,0.0,13097.4,0.0,5147.4,0.0,0.0,31082.4,1500,0.4319556887243513,0.5680443112756486
P00,HD-BASE-RM-001,2022-03-10,2025-09-09,852,60000.0,67858.44,7858.44,4770.0,0.0,3088.44,0.0,0.0,0.0,7858.44,0.0,7858.44,0.0,3088.44,0.0,0.0,42649.44,900,0.6468720694429245,0.3531279305570753
