profile_id,strategy_account_id,baseline_account_id,terminal_nav_difference_cny,relative_price_pnl_cny,relative_execution_price_pnl_cny,relative_gross_dividend_entitlement_cny,relative_tax_effect_cny,relative_fee_effect_cny,relative_cash_yield_cny,relative_attributed_nav_change_cny,relative_period_identity_difference_cny,overweight_up_gain_cny,overweight_down_loss_cny,underweight_up_opportunity_loss_cny,underweight_down_avoided_loss_cny,flat_price_component_cny,average_relative_opening_shares,minimum_relative_opening_shares,maximum_relative_opening_shares
P00,HD-ANCHOR-001,HD-BASE-000,1387.58,1103.0,0.0,337.52,0.0,-52.94,0.0,1387.58,0.0,10499.0,9396.0,0.0,0.0,0.0,141.66666666666666,0,300
P00,HD-ANCHOR-001,HD-BASE-001,-2978.22,-1547.0,0.0,-1378.28,0.0,-52.94,0.0,-2978.22,0.0,0.0,0.0,32816.0,31269.0,0.0,-358.3333333333333,-500,-200
P00,HD-ANCHOR-001,HD-BASE-RM-001,2260.74,1633.0,0.0,680.68,0.0,-52.94,0.0,2260.74,0.0,19162.0,17529.0,0.0,0.0,0.0,241.66666666666666,100,400
