group_type,state,episode_id,account_id,start_date,end_date,duration_trading_sessions,total_return,max_drawdown,longest_completed_underwater_state_days,right_censored_underwater,terminal_underwater_state_days
TREND,SIDEWAYS,8,HD-ANCHOR-001,2022-04-20,2022-04-21,2,0.005787037037036757,0.0,0,False,0
TREND,SIDEWAYS,10,HD-ANCHOR-001,2022-04-25,2022-05-13,12,-0.007543456871104914,-0.02263037061331552,0,True,12
TREND,SIDEWAYS,12,HD-ANCHOR-001,2022-05-17,2022-05-19,3,0.004810882548108797,-0.0036490296898323837,1,False,0
TREND,SIDEWAYS,14,HD-ANCHOR-001,2022-05-23,2022-05-26,4,0.008252186829510011,-0.006766793200197907,3,False,0
TREND,SIDEWAYS,16,HD-ANCHOR-001,2022-06-27,2022-07-01,5,0.01880268772875593,-0.005145998746817204,4,False,0
TREND,SIDEWAYS,18,HD-ANCHOR-001,2022-07-06,2022-07-11,4,0.008755768064892644,-0.003502307225957013,3,False,0
TREND,SIDEWAYS,20,HD-ANCHOR-001,2022-07-15,2022-07-18,2,0.0015862855201773662,-0.009870221014437575,1,False,0
TREND,SIDEWAYS,22,HD-ANCHOR-001,2022-07-28,2022-08-05,7,0.002827014954909446,-0.008481044864727005,6,False,0
TREND,SIDEWAYS,24,HD-ANCHOR-001,2022-08-12,2022-09-16,25,-0.009819313594402579,-0.018802673845656037,0,True,24
TREND,SIDEWAYS,26,HD-ANCHOR-001,2022-09-20,2022-09-20,1,-0.0011658729554716585,-0.0011658729554716585,0,True,1
TREND,SIDEWAYS,28,HD-ANCHOR-001,2022-09-26,2022-10-10,6,0.0005846405191611836,-0.018123856093983925,5,False,0
TREND,SIDEWAYS,30,HD-ANCHOR-001,2022-10-13,2022-10-31,12,-0.05762440930910906,-0.05762440930910906,0,True,12
TREND,SIDEWAYS,32,HD-ANCHOR-001,2022-11-03,2022-11-03,1,-0.010735088635016155,-0.010735088635016155,0,True,1
TREND,SIDEWAYS,34,HD-ANCHOR-001,2022-11-07,2022-12-08,24,0.01711974499204083,-0.01975547300079783,3,True,9
TREND,SIDEWAYS,36,HD-ANCHOR-001,2022-12-12,2022-12-12,1,-0.005312886440117404,-0.005312886440117404,0,True,1
TREND,SIDEWAYS,38,HD-ANCHOR-001,2022-12-14,2022-12-14,1,0.00022275096065627054,0.0,0,False,0
TREND,SIDEWAYS,40,HD-ANCHOR-001,2022-12-16,2022-12-16,1,0.007593831060280998,0.0,0,False,0
TREND,SIDEWAYS,42,HD-ANCHOR-001,2022-12-21,2022-12-21,1,0.0017923883471318014,0.0,0,False,0
TREND,SIDEWAYS,44,HD-ANCHOR-001,2022-12-23,2023-01-05,9,0.009190108339825365,-0.005082515229697049,1,True,3
TREND,SIDEWAYS,46,HD-ANCHOR-001,2023-02-15,2023-02-15,1,-0.0024222040566328484,-0.0024222040566328484,0,True,1
TREND,SIDEWAYS,48,HD-ANCHOR-001,2023-03-02,2023-03-08,5,-0.006373180304877657,-0.008117028310371976,1,True,3
TREND,SIDEWAYS,50,HD-ANCHOR-001,2023-03-31,2023-05-09,24,0.033646202986239215,-0.009826291541140564,10,False,0
TREND,SIDEWAYS,52,HD-ANCHOR-001,2023-05-25,2023-08-22,62,0.004750432088657552,-0.01861269122186482,48,True,3
TREND,SIDEWAYS,54,HD-ANCHOR-001,2023-08-24,2023-09-12,14,0.0026895997836946517,-0.01022806000813381,1,True,12
TREND,SIDEWAYS,56,HD-ANCHOR-001,2023-09-19,2023-09-19,1,0.0025251217238164703,0.0,0,False,0
TREND,SIDEWAYS,58,HD-ANCHOR-001,2023-10-23,2023-10-24,2,0.005267320570750744,-0.0012641569369801209,1,False,0
TREND,SIDEWAYS,60,HD-ANCHOR-001,2023-10-26,2023-10-30,3,0.011483873500716557,-0.0018970347886995143,1,False,0
TREND,SIDEWAYS,62,HD-ANCHOR-001,2023-11-07,2023-12-25,35,0.024493748490458156,-0.006882309144663368,9,False,0
TREND,SIDEWAYS,64,HD-ANCHOR-001,2023-12-28,2024-01-02,3,0.0030833096023905604,-0.005138849337317675,2,False,0
