order_id,signal_date,session_date,side,order_reason,status,reason,decision_close_cny,fill_price_cny,requested_quantity,filled_quantity,adverse_bps_signal_close_to_fill,total_fees_cny,deferred_tax_paid_cny
ORDER-000001,2022-05-27,2022-05-30,BUY,ADJACENT_BUY,FILLED,ASSUMED_FULL_AT_FINAL_CLOSE,23.72,23.74,100,100,8.43170320404596,5.19,0.0
ORDER-000002,2022-06-21,2022-06-22,BUY,ADJACENT_BUY,FILLED,ASSUMED_FULL_AT_FINAL_CLOSE,23.15,23.2,100,100,21.59827213823018,5.18,0.0
ORDER-000003,2022-07-13,2022-07-14,SELL,ADJACENT_SELL,FILLED,ASSUMED_FULL_AT_FINAL_CLOSE,24.97,24.86,100,100,44.24778761061843,7.68,0.0
ORDER-000004,2022-08-24,2022-08-25,BUY,ADJACENT_BUY,FILLED,ASSUMED_FULL_AT_FINAL_CLOSE,23.16,23.59,100,100,185.6649395509491,5.18,0.0
ORDER-000005,2022-11-01,2022-11-02,BUY,ADJACENT_BUY,FILLED,ASSUMED_FULL_AT_FINAL_CLOSE,20.32,20.46,100,100,68.89763779527547,5.16,0.0
ORDER-000006,2024-02-06,2024-02-07,SELL,ADJACENT_SELL,FILLED,ASSUMED_FULL_AT_FINAL_CLOSE,24.72,24.7,100,100,8.097165991902688,6.39,0.0
ORDER-000007,2024-03-06,2024-03-07,SELL,ADJACENT_SELL,FILLED,ASSUMED_FULL_AT_FINAL_CLOSE,25.86,25.9,100,100,-15.444015444014969,6.47,0.0
ORDER-000008,2024-05-28,2024-05-29,SELL,ADJACENT_SELL,FILLED,ASSUMED_FULL_AT_FINAL_CLOSE,26.71,26.69,100,100,7.493443237167607,6.5,0.0
ORDER-000009,2025-08-01,2025-08-04,BUY,ADJACENT_BUY,FILLED,ASSUMED_FULL_AT_FINAL_CLOSE,27.99,28.14,100,100,53.59056806002238,5.19,0.0
